fpl_code,team,player,pos,cost,1,2,3,4,5,6,7,8,9,10,11,12,total_pts,ppm
441191,NEW,Livramento,D,4.0,3.58,3.13,4.18,7.6,7.26,6.47,4.22,6.56,3.92,6.96,3.3,6.18,63.36,15.84
159506,NFO,Aina,D,4.0,4.18,3.53,4.67,2.81,7.85,7.98,5.99,6.15,3.39,6.95,4.61,5.15,63.25,15.81
215059,CHE,Sánchez,G,3.5,4.11,3.87,4.32,6.03,6.08,6.55,3.48,6.39,4.79,5.83,4.34,6.92,62.69,17.91
165809,MCI,Bernardo,M,4.5,4.17,4.64,3.88,7.0,5.88,7.22,3.43,6.73,3.2,6.77,3.11,6.52,62.55,13.9
224024,WHU,L.Paquetá,M,3.5,6.01,8.54,4.39,8.38,4.49,4.26,3.67,4.6,4.51,4.38,5.03,4.24,62.5,17.86
171314,MCI,Rúben,D,4.0,4.3,4.12,3.47,7.21,5.34,8.11,3.46,7.4,3.32,6.73,2.88,5.93,62.27,15.57
433154,EVE,McNeil,M,4.0,4.75,8.61,4.68,7.52,3.97,5.01,4.57,3.94,5.1,5.35,4.38,4.37,62.26,15.56
214590,WHU,Wan-Bissaka,D,4.0,6.17,8.61,4.36,8.43,4.43,4.58,3.0,4.23,4.64,4.04,5.87,3.76,62.11,15.53
446008,MUN,Mbeumo,M,5.5,4.07,8.22,5.4,7.14,4.29,4.61,5.8,3.84,4.66,4.39,4.57,4.5,61.51,11.18
424876,LIV,Szoboszlai,M,4.5,4.33,3.19,2.89,7.27,6.51,6.63,3.1,7.08,3.7,6.88,2.95,6.9,61.42,13.65
116535,LIV,A.Becker,G,4.5,4.33,3.47,3.81,7.0,6.96,6.05,3.32,6.5,3.54,6.37,3.12,6.73,61.19,13.6
17761,EVE,Tarkowski,D,3.5,4.99,9.26,4.58,8.11,2.89,5.12,4.38,2.99,4.55,5.53,4.67,4.07,61.14,17.47
575476,NFO,Murillo,D,4.0,4.01,3.33,4.44,2.73,7.56,7.98,5.68,5.93,3.21,6.64,4.54,5.03,61.1,15.27
153133,FUL,Iwobi,M,3.5,4.69,8.77,4.06,7.92,4.79,4.21,4.27,3.64,4.17,4.73,4.2,5.42,60.88,17.4
225796,CHE,James,D,4.0,4.11,4.08,3.96,6.45,5.3,6.43,2.8,5.91,4.71,6.24,3.88,6.95,60.81,15.2
440089,BRE,Damsgaard,M,4.0,4.69,8.68,5.47,7.33,4.22,4.58,4.1,4.63,4.1,4.22,4.36,4.28,60.67,15.17
513418,BRE,Schade,M,4.0,3.79,8.96,5.69,7.51,4.26,4.73,4.11,4.59,4.08,4.23,4.42,4.25,60.63,15.16
