fpl_code,team,player,pos,cost,2025-10-18,2025-10-19,2025-10-20,2025-10-24,2025-10-25,2025-10-26,2025-11-01,2025-11-02,2025-11-03,2025-11-08,2025-11-09,2025-11-22,2025-11-23,2025-11-24,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-27,total_pts,ppm
592031,BHA,Minteh,M,7.4,4.21,0.0,0.0,0.0,4.06,0.0,4.45,0.0,0.0,0.0,3.72,4.23,0.0,0.0,0.0,3.78,0.0,3.99,0.0,0.0,4.43,0.0,3.38,0.0,0.0,4.78,0.0,0.0,2.97,44.01,5.95
469142,BHA,Van Hecke,D,7.7,4.14,0.0,0.0,0.0,3.61,0.0,5.34,0.0,0.0,0.0,3.77,4.23,0.0,0.0,0.0,4.16,0.0,3.86,0.0,0.0,4.55,0.0,1.84,0.0,0.0,5.83,0.0,0.0,2.1,43.44,5.64
220566,MCI,Rodrigo,M,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,4.21,4.7,0.0,0.0,5.44,0.0,4.63,0.0,0.0,6.33,0.0,0.0,0.0,5.1,0.0,5.33,0.0,0.0,4.88,43.42,4.48
485711,MUN,Šeško,F,9.8,0.0,3.56,0.0,0.0,4.08,0.0,3.96,0.0,0.0,4.05,0.0,0.0,0.0,3.92,0.0,3.64,0.0,0.0,4.31,0.0,0.0,3.91,0.0,0.0,3.9,0.0,3.93,0.0,4.09,43.34,4.42
204716,LIV,Konaté,D,9.0,0.0,3.29,0.0,0.0,3.95,0.0,4.08,0.0,0.0,0.0,2.51,4.67,0.0,0.0,0.0,4.15,0.0,5.74,0.0,4.08,0.0,0.0,3.43,0.0,0.0,3.02,0.0,0.0,4.14,43.05,4.78
209244,MCI,Foden,M,11.5,4.31,0.0,0.0,0.0,0.0,3.8,0.0,3.84,0.0,0.0,3.41,3.4,0.0,0.0,4.08,0.0,3.5,0.0,0.0,4.69,0.0,0.0,0.0,3.46,0.0,4.56,0.0,0.0,3.95,42.99,3.74
232185,CRY,Sarr,M,8.0,5.06,0.0,0.0,0.0,0.0,3.64,5.26,0.0,0.0,0.0,4.9,4.75,0.0,0.0,0.0,4.96,0.0,5.18,0.0,0.0,4.26,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,42.28,5.29
243298,LIV,Gakpo,F,11.5,0.0,3.96,0.0,0.0,3.79,0.0,3.73,0.0,0.0,0.0,3.1,3.85,0.0,0.0,0.0,3.68,0.0,4.5,0.0,3.53,0.0,0.0,3.65,0.0,0.0,4.04,0.0,0.0,4.39,42.23,3.67
502500,BRE,Thiago,F,7.0,0.0,0.0,4.12,0.0,3.64,0.0,3.67,0.0,0.0,0.0,3.78,3.58,0.0,0.0,4.58,0.0,0.0,2.97,0.0,3.75,0.0,0.0,0.0,3.93,0.0,4.08,0.0,0.0,4.09,42.18,6.03
172649,CRY,Henderson,G,7.7,4.05,0.0,0.0,0.0,0.0,2.78,4.02,0.0,0.0,0.0,3.79,3.93,0.0,0.0,0.0,3.87,0.0,4.68,0.0,0.0,3.64,0.0,0.0,3.36,0.0,0.0,4.02,0.0,3.73,41.88,5.44
