fpl_code,team,player,pos,cost,2,3,4,5,6,7,8,9,10,total_pts,ppm
511499,TOT,Tel,M,6.5,2.43,2.94,2.76,2.59,3.06,2.82,2.7,2.48,2.15,23.93,3.68
56979,BRE,Henderson,M,5.0,3.14,3.33,2.53,2.49,2.74,2.43,2.47,2.28,2.45,23.86,4.77
456512,NFO,Ndoye,M,6.0,2.45,2.91,2.14,2.92,3.41,2.38,2.41,2.39,2.69,23.71,3.95
249231,BRE,Lewis-Potter,D,5.0,2.98,3.73,2.53,2.57,2.93,2.13,2.58,2.03,2.16,23.64,4.73
477717,BUR,Estève,D,4.0,3.88,2.37,2.11,3.04,1.75,2.19,3.36,2.55,2.33,23.57,5.89
223827,SUN,Ballard,D,4.5,3.72,2.83,2.12,2.48,2.39,2.21,2.84,1.65,3.1,23.34,5.19
441271,WOL,Hoever,D,4.0,2.14,2.97,1.85,2.98,2.11,2.41,3.14,3.44,2.22,23.25,5.81
87835,WOL,Doherty,D,4.5,2.06,3.05,1.8,3.04,2.05,2.41,3.09,3.5,2.24,23.25,5.17
167074,FUL,Tete,D,4.5,3.1,2.08,3.4,2.75,2.32,2.28,2.27,2.03,3.02,23.25,5.17
487676,SUN,Hume,D,4.5,3.63,2.7,2.05,2.53,2.37,2.25,2.99,1.63,3.06,23.2,5.16
122806,AVL,McGinn,M,5.5,2.5,2.51,2.49,2.96,2.54,3.14,2.48,2.33,2.13,23.09,4.2
154296,TOT,J.Palhinha,M,5.5,1.86,2.76,2.77,2.62,2.85,2.72,2.56,2.48,2.36,22.99,4.18
67089,BUR,Dúbravka,G,4.0,3.43,2.33,2.27,2.89,1.95,2.17,3.04,2.49,2.34,22.91,5.73
431639,BUR,Flemming,F,5.5,3.93,2.5,2.31,2.64,2.08,2.23,2.9,2.39,1.88,22.87,4.16
491279,TOT,Van de Ven,D,4.5,1.72,2.7,2.63,2.24,3.11,2.88,2.58,2.8,2.17,22.84,5.07
498016,SUN,Roefs,G,4.5,2.97,2.57,2.16,2.48,2.41,2.23,2.81,2.08,2.94,22.65,5.03
462116,WHU,Todibo,D,4.5,2.27,2.54,2.62,2.57,2.81,1.9,2.61,2.85,2.34,22.51,5.0
586309,EVE,Barry,F,6.0,2.7,2.3,2.57,2.08,2.77,2.49,2.02,2.74,2.81,22.48,3.75
547027,SUN,Diarra,M,5.5,2.83,2.7,2.43,2.5,2.36,2.39,2.65,2.06,2.55,22.47,4.09
243526,LEE,Gudmundsson,D,4.0,1.75,2.33,2.35,2.59,2.48,2.54,3.28,2.86,2.07,22.24,5.56
484420,SUN,E.Le Fée,M,5.0,2.76,2.55,2.39,2.42,2.31,2.35,2.6,2.14,2.5,22.01,4.4
433154,EVE,McNeil,M,6.0,2.56,1.98,2.19,2.1,2.6,2.59,2.13,2.81,2.98,21.94,3.66
194010,BRE,Henry,D,4.5,2.77,3.39,2.27,2.4,2.71,2.02,2.42,1.8,2.07,21.86,4.86
248056,LEE,Tanaka,M,5.0,2.12,2.54,2.41,2.37,2.44,2.56,2.57,2.54,2.32,21.85,4.37
174592,BUR,Edwards,M,5.0,3.28,2.42,2.24,2.57,2.03,2.21,2.63,2.3,2.02,21.7,4.34
83299,BHA,Dunk,D,4.5,2.79,2.15,2.22,2.63,1.81,2.56,2.21,2.29,2.99,21.66,4.81
492859,LEE,Gnonto,M,5.5,2.02,2.36,2.33,2.46,2.43,2.63,2.63,2.48,2.24,21.58,3.92
54469,BOU,Smith,D,4.5,3.0,2.08,2.47,2.24,2.57,2.63,2.02,2.73,1.6,21.34,4.74
613804,WHU,Diouf,D,4.5,2.37,2.57,2.61,2.39,2.5,1.64,2.42,2.49,2.15,21.14,4.7
180135,LEE,Longstaff,M,5.0,2.06,2.34,2.24,2.41,2.35,2.48,2.57,2.5,2.18,21.13,4.23
207189,FUL,Berge,M,5.0,2.6,2.23,2.6,2.52,2.22,2.25,2.08,2.14,2.46,21.09,4.22
199598,LEE,Ampadu,M,5.0,2.15,2.32,2.36,2.36,2.41,2.47,2.47,2.37,2.17,21.07,4.21
485337,AVL,Guessand,M,6.5,1.71,2.13,2.1,2.69,2.66,3.06,2.57,2.1,2.05,21.07,3.24
244858,BRE,Carvalho,M,5.0,2.74,3.19,2.35,2.08,2.28,2.06,2.25,2.01,2.08,21.06,4.21
502697,EVE,Alcaraz,M,5.5,2.35,2.16,2.19,1.9,2.43,2.36,2.05,2.49,2.56,20.5,3.73
550864,MUN,Yoro,D,4.5,2.43,3.59,1.61,2.0,1.96,3.1,1.35,2.17,2.14,20.35,4.52
201666,NEW,Barnes,M,6.5,2.64,2.46,2.36,2.0,1.78,2.13,1.98,2.21,2.21,19.77,3.04
465527,BUR,Hannibal,M,5.0,2.9,2.2,2.05,2.25,1.83,1.98,2.3,2.09,1.85,19.46,3.89
570526,TOT,Bergvall,M,5.5,2.05,2.18,2.25,2.14,2.3,2.18,2.1,2.18,1.95,19.34,3.52
503714,BUR,Ugochukwu,M,5.0,2.68,2.22,2.11,2.18,1.89,1.98,2.24,2.05,1.94,19.3,3.86
58621,BUR,Walker,D,4.5,3.51,1.92,1.49,2.59,1.25,1.75,2.78,2.2,1.75,19.24,4.28
486385,EVE,Beto,F,5.5,2.11,2.24,2.18,1.65,2.19,2.2,1.74,2.3,2.41,19.03,3.46
156689,FUL,Andreas,M,5.5,1.96,1.69,2.24,2.16,2.21,2.2,1.84,1.93,2.69,18.92,3.44
549912,SUN,Talbi,M,5.0,2.44,2.26,1.95,2.11,1.97,1.96,2.14,1.72,2.01,18.56,3.71
508395,BRE,Yarmoliuk,M,5.0,2.37,2.5,2.0,1.98,2.04,1.84,2.06,1.9,1.85,18.55,3.71
198869,ARS,White,D,5.5,3.37,1.59,2.15,1.52,1.57,2.18,1.75,1.9,2.45,18.48,3.36
242898,TOT,Johnson,M,7.0,1.62,2.05,1.92,2.09,2.37,2.3,2.33,1.91,1.87,18.46,2.64
434399,SUN,Reinildo,D,4.0,2.98,2.14,1.63,1.93,1.88,1.73,2.33,1.26,2.53,18.4,4.6
501837,WOL,Mosquera,D,4.5,1.19,1.95,1.49,2.58,1.75,1.7,2.52,2.98,2.09,18.24,4.05
494960,BUR,Hartman,D,4.0,3.43,1.89,1.48,2.37,1.24,1.64,2.51,1.99,1.57,18.12,4.53
487053,TOT,Udogie,D,4.5,1.4,2.07,2.09,1.79,2.53,2.24,2.14,2.0,1.72,17.99,4.0
180736,CHE,Chalobah,D,5.0,2.91,2.91,2.05,1.65,1.63,1.31,1.6,2.34,1.51,17.91,3.58
210462,NFO,Sangaré,M,5.0,2.19,2.47,2.01,2.5,2.67,1.67,1.4,1.29,1.52,17.72,3.54
231480,WOL,S.Bueno,D,4.5,1.29,2.22,1.47,2.23,1.29,1.99,2.44,2.91,1.85,17.69,3.93
577669,SUN,Sadiki,M,5.0,2.06,2.07,1.78,1.97,1.81,1.94,1.99,1.67,2.08,17.38,3.48
232653,AVL,J.Ramsey,M,5.5,1.8,2.05,1.73,2.23,1.95,2.23,2.19,1.71,1.48,17.38,3.16
482442,TOT,P.M.Sarr,M,5.0,1.87,2.1,2.04,1.9,2.13,2.03,2.0,1.87,1.42,17.36,3.47
209289,FUL,Smith Rowe,M,6.0,2.7,2.09,1.98,2.0,1.75,1.74,1.6,1.55,1.88,17.29,2.88
564406,SUN,Mayenda,F,5.5,2.59,2.23,1.55,1.79,1.65,1.46,1.8,2.14,1.76,16.97,3.08
219847,ARS,Havertz,F,7.5,2.51,1.72,2.09,1.91,1.72,1.99,1.43,1.68,1.73,16.78,2.24
232859,TOT,Spence,D,4.5,1.28,2.0,1.62,1.68,1.98,2.07,2.01,2.17,1.82,16.62,3.69
472713,BRE,Hickey,D,4.0,1.1,1.79,1.82,1.97,2.33,1.73,2.24,1.66,1.75,16.39,4.1
101188,AVL,Digne,D,4.5,1.91,1.77,1.94,2.41,1.73,2.68,1.47,1.29,1.01,16.2,3.6
109646,CHE,Tosin,D,4.5,2.81,2.83,1.52,1.45,1.6,1.18,1.46,1.92,1.33,16.11,3.58
441302,AVL,Maatsen,D,4.5,1.56,1.84,1.83,2.21,2.1,2.44,1.5,1.43,1.08,15.97,3.55
59859,MCI,Gündoğan,M,6.5,2.58,1.99,1.89,1.29,1.99,1.46,1.62,1.5,1.63,15.94,2.45
444145,ARS,Martinelli,M,7.0,2.67,1.55,1.84,1.59,1.54,1.82,1.39,1.48,1.75,15.64,2.23
116216,ARS,Trossard,M,7.0,1.63,1.69,1.96,1.81,1.59,1.83,1.49,1.77,1.75,15.51,2.22
624773,CHE,Estêvão,M,6.5,1.29,1.52,1.49,1.69,2.02,1.58,1.75,2.43,1.71,15.48,2.38
607464,BRE,Kayode,D,4.5,2.43,2.85,1.72,1.59,1.66,1.31,1.45,1.1,1.26,15.36,3.41
465351,MCI,Matheus N.,D,5.5,1.81,1.58,1.85,1.28,2.13,1.49,1.75,1.48,1.65,15.03,2.73
212319,TOT,Richarlison,F,6.5,1.47,1.66,1.67,1.52,1.86,1.76,1.86,1.54,1.68,15.01,2.31
204968,NFO,Yates,M,5.0,1.79,2.15,1.61,2.22,2.3,1.32,1.11,1.16,1.31,14.98,3.0
209400,CRY,Kamada,M,5.0,0.74,1.24,2.55,1.76,1.63,1.75,1.84,1.52,1.84,14.87,2.97
466052,MCI,Cherki,M,6.5,2.06,1.58,1.76,1.16,1.98,1.53,1.63,1.42,1.67,14.8,2.28
200785,BOU,Adams,M,5.0,3.38,1.42,1.44,1.44,1.49,1.48,1.5,1.39,1.23,14.77,2.95
231057,WOL,Bellegarde,M,5.5,1.31,1.41,1.38,1.79,1.59,1.67,1.89,2.02,1.41,14.47,2.63
221820,MUN,Martinez,D,5.0,0.0,0.0,0.0,0.85,2.22,3.94,1.78,2.89,2.71,14.4,2.88
550839,TOT,Odobert,M,5.5,1.42,1.69,1.59,1.46,1.77,1.64,1.7,1.55,1.37,14.2,2.58
643135,WOL,Fer López,M,5.5,1.26,1.56,1.36,1.8,1.47,1.66,1.74,1.93,1.42,14.2,2.58
114243,NEW,J.Murphy,M,6.5,1.53,1.66,1.72,1.45,1.34,1.61,1.53,1.7,1.61,14.15,2.18
450070,WHU,Summerville,M,5.5,0.0,0.0,0.85,1.9,2.24,1.85,2.46,2.43,2.39,14.12,2.57
248875,MCI,Doku,M,6.5,1.82,1.55,1.64,1.19,1.86,1.44,1.55,1.49,1.51,14.05,2.16
167512,SUN,O'Nien,D,4.0,0.0,0.0,0.66,2.13,2.2,1.98,2.7,1.48,2.88,14.04,3.51
184349,FUL,Sessegnon,M,5.5,3.07,2.19,1.44,1.32,1.17,1.19,1.11,1.16,1.35,14.0,2.55
440323,BUR,Broja,F,5.5,1.37,1.43,1.58,1.69,1.42,1.54,1.72,1.57,1.67,14.0,2.54
159533,FUL,Adama,M,5.5,1.61,1.33,1.62,1.65,1.49,1.49,1.37,1.53,1.85,13.93,2.53
152551,CRY,Lerma,M,5.0,1.63,1.46,1.73,1.52,1.44,1.52,1.6,1.32,1.69,13.91,2.78
95658,MUN,Maguire,D,4.5,2.17,3.25,1.52,1.16,1.05,1.53,0.74,1.11,1.1,13.62,3.03
158534,WHU,Walker-Peters,D,4.5,1.33,2.07,1.7,1.55,1.57,1.01,1.4,1.58,1.4,13.61,3.02
509416,BHA,Ayari,M,5.0,1.5,1.5,1.43,1.74,1.33,1.47,1.48,1.47,1.67,13.59,2.72
533463,BOU,O.Dango,M,6.0,1.55,1.51,1.65,1.55,1.77,1.55,1.36,1.45,1.1,13.49,2.25
463936,CHE,Gittens,M,6.5,1.51,1.56,1.39,1.33,1.61,1.3,1.35,1.84,1.5,13.4,2.06
482973,NFO,Igor Jesus,F,6.0,1.31,1.57,1.14,1.55,1.77,1.26,1.33,1.27,1.41,12.61,2.1
449871,AVL,Onana,M,5.0,1.23,1.33,1.23,1.56,1.37,1.66,1.48,1.38,1.29,12.54,2.51
516895,MUN,Mainoo,M,5.0,1.39,1.64,1.26,1.28,1.39,1.58,1.18,1.37,1.28,12.37,2.47
75115,WHU,Wilson,F,6.0,1.32,1.3,1.67,1.48,1.22,1.08,1.48,1.36,1.37,12.29,2.05
248857,ARS,Madueke,M,7.0,1.23,0.89,1.27,1.2,1.21,1.71,1.43,1.66,1.58,12.18,1.74
174594,LEE,Nmecha,F,5.0,1.02,1.21,1.26,1.35,1.36,1.49,1.5,1.53,1.35,12.07,2.41
427637,LEE,Aaronson,M,5.5,0.99,1.24,1.18,1.33,1.41,1.46,1.47,1.6,1.35,12.01,2.18
211975,MCI,Akanji,D,5.5,1.2,1.11,1.42,1.01,1.91,1.23,1.56,1.2,1.31,11.96,2.17
467779,BHA,Wieffer,M,5.0,1.55,1.21,1.16,1.42,1.22,1.3,1.38,1.32,1.34,11.9,2.38
477064,MCI,Lewis,D,5.0,1.43,1.15,1.37,0.92,1.9,1.24,1.38,1.12,1.36,11.87,2.37
482609,CHE,Gusto,D,5.0,1.2,1.3,1.2,1.19,1.35,1.12,1.3,2.01,1.19,11.85,2.37
77794,NEW,Trippier,D,5.0,0.94,1.32,1.56,1.13,1.06,1.51,1.22,1.53,1.48,11.74,2.35
532529,BHA,Hinshelwood,M,5.5,1.16,1.21,1.21,1.47,1.1,1.37,1.3,1.28,1.47,11.57,2.1
543295,BRE,Milambo,M,5.5,0.82,1.11,1.03,1.2,1.49,1.38,1.57,1.36,1.48,11.45,2.08
232112,MUN,Ugarte,M,5.0,1.38,1.48,1.05,1.22,1.15,1.48,1.16,1.25,1.18,11.36,2.27
61256,MUN,Casemiro,M,5.5,1.07,1.48,1.08,1.19,1.18,1.63,1.11,1.37,1.17,11.3,2.05
219249,BHA,O'Riley,M,5.5,1.26,1.13,1.17,1.4,1.13,1.26,1.29,1.21,1.39,11.24,2.04
149484,AVL,Mings,D,4.5,0.96,1.1,1.24,1.57,1.42,1.74,1.15,1.07,0.89,11.15,2.48
166477,FUL,Castagne,D,4.5,1.48,1.04,1.38,1.28,1.12,1.13,1.1,1.03,1.57,11.13,2.47
478969,BUR,Ekdal,D,4.0,3.34,1.83,1.28,1.2,0.57,0.66,0.88,0.69,0.54,11.0,2.75
463981,BOU,Hill,D,4.0,1.26,0.97,1.11,1.05,1.44,1.46,1.15,1.49,0.93,10.87,2.72
551210,CHE,Hato,D,5.0,1.03,1.23,1.17,1.13,1.27,1.03,1.19,1.64,1.09,10.78,2.16
206915,LIV,C.Jones,M,5.5,0.89,0.99,1.26,1.23,1.11,1.08,1.33,1.26,1.31,10.46,1.9
108413,CRY,Hughes,M,5.0,1.48,1.24,1.28,1.12,1.07,1.09,1.11,0.92,1.11,10.42,2.08
230001,MUN,Mazraoui,D,5.0,1.11,1.83,0.95,1.04,0.93,1.52,0.78,1.11,1.05,10.32,2.06
424044,BOU,H.Traorè,M,4.5,1.58,1.01,1.15,1.12,1.17,0.99,1.02,1.18,0.91,10.12,2.25
483081,WOL,R.Gomes,D,4.5,0.87,1.13,0.79,1.29,0.94,1.1,1.4,1.6,1.0,10.12,2.25
221399,LEE,Harrison,M,5.5,0.79,1.03,1.0,1.07,1.15,1.18,1.33,1.37,1.14,10.06,1.83
122798,LIV,Robertson,D,6.0,0.88,0.91,1.4,1.27,1.05,0.91,1.24,1.14,1.25,10.05,1.68
207283,BRE,Jensen,M,5.0,1.39,1.49,1.03,0.98,1.09,0.94,1.12,0.96,1.02,10.01,2.0
510281,MCI,Savinho,M,7.0,1.17,1.0,1.16,0.87,1.34,1.13,1.08,1.04,1.14,9.94,1.42
179458,BUR,Bruun Larsen,M,5.5,1.47,1.02,1.01,1.11,0.92,0.96,1.24,1.13,0.98,9.83,1.79
514254,BHA,Gomez,M,5.0,0.99,0.96,1.03,1.13,0.97,1.13,1.07,1.03,1.2,9.5,1.9
220237,NEW,Botman,D,5.0,0.73,1.01,1.17,0.99,0.96,1.22,0.93,1.26,1.16,9.43,1.89
126184,MCI,Aké,D,5.5,0.94,0.86,1.04,0.78,1.39,1.02,1.21,1.0,1.08,9.33,1.7
241231,BUR,Jordan,D,4.0,0.0,0.38,0.46,0.93,0.65,0.97,2.21,1.85,1.65,9.12,2.28
204120,BHA,Boscagli,D,4.5,0.99,0.85,0.87,1.03,0.83,1.06,1.01,1.02,1.44,9.1,2.02
433952,LEE,Ramazani,M,5.0,0.76,0.91,0.92,1.0,1.07,1.19,1.16,1.11,0.97,9.08,1.82
111478,BHA,Veltman,D,4.5,1.07,0.85,0.93,1.03,0.78,1.18,0.95,0.93,1.27,9.0,2.0
492777,LIV,Bradley,D,5.0,0.69,0.81,1.12,1.21,0.91,0.83,1.16,1.01,1.02,8.74,1.75
200089,NEW,Willock,M,5.0,0.0,0.0,0.65,1.06,1.14,1.46,1.4,1.5,1.47,8.68,1.74
243571,EVE,Patterson,D,4.5,0.8,0.91,0.99,0.69,1.16,0.99,0.75,1.07,1.21,8.58,1.91
513433,BHA,Gruda,M,5.5,1.03,0.9,0.9,1.02,0.8,0.91,0.96,0.84,1.09,8.45,1.54
436893,BOU,J.Araujo,D,4.0,1.01,0.79,0.91,0.89,1.1,1.1,0.87,1.07,0.7,8.44,2.11
195384,ARS,Merino,M,6.0,0.91,0.8,0.96,0.84,0.89,0.98,0.88,0.96,1.06,8.29,1.38
124165,SUN,Roberts,M,5.5,1.0,0.98,0.82,0.87,0.89,0.9,1.0,0.86,0.93,8.24,1.5
171287,LIV,Gomez,D,5.0,0.59,0.8,1.06,1.07,0.95,0.8,1.01,0.92,1.03,8.23,1.65
466075,ARS,Calafiori,D,5.5,0.58,0.59,0.96,0.85,0.83,1.17,1.01,0.99,1.19,8.16,1.48
444884,LIV,Elliott,M,5.5,0.65,0.69,0.92,0.95,0.91,0.82,1.06,1.08,1.08,8.15,1.48
231416,BHA,F.Kadıoğlu,D,4.5,0.91,0.76,0.77,0.89,0.71,0.9,0.96,0.88,1.15,7.95,1.77
550090,BHA,Coppola,D,4.5,0.95,0.75,0.74,0.88,0.7,0.96,0.87,0.91,1.19,7.94,1.77
167887,BUR,Laurent,M,5.0,0.88,0.8,0.75,0.86,0.8,0.8,1.02,0.94,0.86,7.73,1.55
510500,NFO,Jota,M,5.5,0.76,0.96,0.74,0.96,1.2,0.8,0.72,0.71,0.84,7.68,1.4
106760,MUN,Shaw,D,4.5,0.99,1.43,0.66,0.87,0.71,1.05,0.51,0.71,0.72,7.65,1.7
485047,NFO,Morato,D,4.5,0.6,0.92,0.63,1.15,1.19,0.67,0.77,0.72,0.97,7.63,1.7
437505,SUN,Isidor,F,5.5,1.01,0.85,0.76,0.77,0.72,0.77,0.86,1.06,0.82,7.63,1.39
578153,MCI,Khusanov,D,5.5,0.71,0.67,0.84,0.64,1.05,0.8,1.14,0.78,0.91,7.54,1.37
606921,CRY,Esse,M,5.0,0.95,0.89,1.15,0.88,0.71,0.86,0.85,0.54,0.67,7.48,1.5
197024,WHU,G.Rodriguez,M,5.0,0.81,0.81,0.9,0.8,0.83,0.76,0.84,0.84,0.83,7.42,1.48
218364,CRY,Sosa,D,5.0,0.96,0.75,1.16,0.75,0.7,0.84,0.8,0.57,0.83,7.35,1.47
210156,NFO,Awoniyi,F,5.5,0.67,0.84,0.64,0.84,1.07,0.79,0.79,0.81,0.86,7.31,1.33
465694,MCI,N.Gonzalez,M,6.0,2.14,1.2,0.79,0.4,0.59,0.49,0.56,0.5,0.54,7.21,1.2
499309,SUN,Marc Guiu,F,4.5,0.49,0.9,0.9,0.97,0.86,0.98,1.14,0.0,0.93,7.17,1.59
223541,LIV,Chiesa,M,6.5,0.6,0.61,0.89,0.83,0.81,0.7,0.96,0.85,0.89,7.15,1.1
57328,CRY,Clyne,D,4.0,0.76,0.65,1.07,0.75,0.64,0.9,0.8,0.65,0.79,7.02,1.76
184341,MUN,Mount,M,6.0,0.63,0.84,0.6,0.73,0.8,0.99,0.72,0.85,0.73,6.9,1.15
