Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price,Owned,Captained
1000694,2268238,Gueye,Idrissa,EVE,expected,midfielder,4.5,0.49,0.00
1000694,2584318,Bueno,Hugo,WOL,unexpected,defender,4.5,0.05,0.00
1000694,2624511,Yarmolyuk,Yegor,BRE,expected,midfielder,4.5,0.06,0.00
1000694,2707125,Hall,Lewis,NEW,expected,defender,5.5,6.01,0.01
1000694,2818755,Gakpo,Cody,LIV,expected,midfielder,7.6,6.92,0.23
1000694,2818756,Fofana,David Datro,CHE,unexpected,forward,5,0.49,0.00
1000694,2818757,Buonanotte,Facundo,CHE,unexpected,midfielder,5,0.09,0.00
1000694,2833740,Schade,Kevin,BRE,expected,midfielder,6,3.62,0.00
1000694,2840078,Badiashile,Benoit,CHE,injured,defender,5,0.15,0.00
1000694,2840080,Santos,Andrey,CHE,unexpected,midfielder,4.5,0.02,0.00
1000694,2853885,Alcaraz,Carlos,EVE,possible,midfielder,5,0.88,0.00
1000694,2867399,Mudryk,Mykhailo,CHE,suspended,midfielder,5.5,0.52,0.00
1000694,2882402,Ouattara,Dango,BRE,expected,midfielder,6,1.67,0.01
1000694,2882403,Madueke,Noni,ARS,expected,midfielder,6.5,0.57,0.00
1000694,2911676,Bentley,Daniel,WOL,unexpected,goalkeeper,4,0.32,0.00
1000694,2930166,Semenyo,Antoine,BOU,expected,midfielder,7.1,5.91,0.14
1000694,2930169,Ayari,Yasin,BHA,possible,midfielder,4.5,0.21,0.00
1000694,2930170,Gomes,Joao,WOL,expected,midfielder,5,0.56,0.00
1000694,2930172,Lukic,Sasa,FUL,expected,midfielder,4.5,0.08,0.00
1000694,2930174,Ahamada,Naouirou,CRY,unexpected,midfielder,4.5,0.00,0.00
1000694,2930177,Porro,Pedro,TOT,expected,defender,5.5,22.21,0.14
1000694,2930183,Fernandez,Enzo,CHE,expected,midfielder,7.1,3.92,0.36
1000694,3556528,Gusto,Malo,CHE,expected,defender,5,1.20,0.00
1000694,3556529,Udogie,Destiny,TOT,unexpected,defender,5,0.77,0.00
1000694,3556539,Muniz,Rodrigo,FUL,expected,forward,5.5,2.49,0.00
1000694,3584337,Cullen,Josh,BUR,expected,midfielder,4.6,0.15,0.00
1000694,3584351,Ekdal,Hjalmar,BUR,expected,defender,4,0.91,0.00
1000694,3584353,Berge,Sander,FUL,expected,midfielder,4.5,0.11,0.00
1000694,3584356,Beyer,Jordan,BUR,unexpected,defender,4,0.05,0.00
1000694,3584363,Foster,Lyle,BUR,expected,forward,5.5,5.93,0.01
1000694,3584389,Osula,William,NEW,unexpected,forward,5,2.55,0.01
1000694,3584408,Kluivert,Justin,BOU,possible,midfielder,6.5,1.48,0.01
1000694,3584409,Vicario,Guglielmo,TOT,expected,goalkeeper,5,7.59,0.03
1000694,3590555,Szoboszlai,Dominik,LIV,expected,midfielder,6,4.96,0.05
1000694,3591232,Tonali,Sandro,NEW,expected,midfielder,5.5,3.90,0.03
1000694,3591888,Verbruggen,Bart,BHA,expected,goalkeeper,4.5,3.90,0.00
1000694,3627793,Cunha,Matheus,MUN,expected,forward,8,9.65,0.83
1000694,3627877,Torres,Pau,AV,unexpected,defender,5,1.35,0.00
